This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
c.z_loaned_slice_map_t,,src/collections.rs:389:29;src/opaque_types/mod.rs:64:11
c.z_loaned_slice_t,,src/collections.rs:122:29;src/opaque_types/mod.rs:33:11
c.z_loaned_str_t,,src/collections.rs:252:29;src/opaque_types/mod.rs:51:11
c.z_loaned_subscriber_t,,src/opaque_types/mod.rs:353:11;src/subscriber.rs:65:29
c.z_loaned_value_t,,src/commons.rs:282:29;src/opaque_types/mod.rs:142:11
c.z_mutex_check,,src/platform/synchronization.rs:42:18
c.z_mutex_drop,,src/platform/synchronization.rs:37:18
c.z_mutex_init,,src/platform/synchronization.rs:29:18
c.z_mutex_loan_mut,,src/platform/synchronization.rs:52:18
c.z_mutex_lock,,src/platform/synchronization.rs:59:18
c.z_mutex_null,,src/platform/synchronization.rs:47:18
c.z_mutex_unlock,,src/platform/synchronization.rs:75:18
c.z_open,,src/session.rs:59:18
c.z_owned_bytes_reader_t,,src/opaque_types/mod.rs:96:11;src/payload.rs:195:29
c.z_owned_bytes_t,,src/opaque_types/mod.rs:8:11;src/payload.rs:18:29
c.z_owned_closure_hello_t,,src/closures/hello_closure.rs:21:11
c.z_owned_closure_hello_t.empty,,src/closures/hello_closure.rs:28:11
c.z_owned_closure_owned_query_t,,src/closures/query_closure.rs:102:11
c.z_owned_closure_owned_query_t.empty,,src/closures/query_closure.rs:108:11
c.z_owned_closure_query_t,,src/closures/query_closure.rs:20:11
c.z_owned_closure_query_t.empty,,src/closures/query_closure.rs:26:14
c.z_owned_closure_reply_t,,src/closures/reply_closure.rs:20:11
c.z_owned_closure_sample_t,,src/closures/sample_closure.rs:20:11
c.z_owned_closure_sample_t.empty,,src/closures/sample_closure.rs:26:14
c.z_owned_closure_zid_t,,src/closures/zenohid_closure.rs:21:11
c.z_owned_closure_zid_t.empty,,src/closures/zenohid_closure.rs:28:11
c.z_owned_condvar_t,,src/opaque_types/mod.rs:403:11;src/platform/synchronization.rs:102:29
c.z_owned_config_t,,src/config.rs:69:29;src/opaque_types/mod.rs:279:11
c.z_owned_encoding_t,,src/commons.rs:224:29;src/opaque_types/mod.rs:114:11
c.z_owned_hello_t,,src/opaque_types/mod.rs:425:11;src/scouting.rs:32:29
c.z_owned_keyexpr_t,,src/keyexpr.rs:39:29;src/opaque_types/mod.rs:224:11
c.z_owned_mutex_t,,src/opaque_types/mod.rs:393:11;src/platform/synchronization.rs:10:29
c.z_owned_publisher_t,,src/opaque_types/mod.rs:313:11;src/publisher.rs:61:29
c.z_owned_pull_subscriber_t,,src/pull_subscriber.rs:45:11;src/pull_subscriber.rs:49:11
c.z_owned_pull_subscriber_t.new,,src/pull_subscriber.rs:70:11
c.z_owned_pull_subscriber_t.null,,src/pull_subscriber.rs:73:11
c.z_owned_query_channel_closure_t,,src/closures/query_channel.rs:23:11
c.z_owned_query_channel_closure_t.empty,,src/closures/query_channel.rs:148:11
c.z_owned_query_channel_t,,src/closures/query_channel.rs:31:11
c.z_owned_query_t,,src/opaque_types/mod.rs:150:11;src/queryable.rs:51:29
c.z_owned_queryable_t,,src/opaque_types/mod.rs:170:11;src/queryable.rs:30:29
c.z_owned_reply_channel_closure_t,,src/closures/response_channel.rs:22:11
c.z_owned_reply_channel_closure_t.empty,,src/closures/response_channel.rs:148:11
c.z_owned_reply_channel_t,,src/closures/response_channel.rs:30:11
c.z_owned_reply_t,,src/get.rs:44:29;src/opaque_types/mod.rs:126:11
c.z_owned_sample_t,,src/commons.rs:153:29;src/opaque_types/mod.rs:85:11
c.z_owned_scouting_config_t,,src/scouting.rs:90:11
c.z_owned_session_t,,src/opaque_types/mod.rs:259:11
c.z_owned_slice_array_t,,src/collections.rs:535:29;src/opaque_types/mod.rs:71:11
c.z_owned_slice_map_t,,src/collections.rs:390:29;src/opaque_types/mod.rs:59:11
c.z_owned_slice_t,,src/collections.rs:123:29;src/opaque_types/mod.rs:23:11
c.z_owned_str_t,,src/collections.rs:253:29;src/opaque_types/mod.rs:41:11
c.z_owned_subscriber_t,,src/opaque_types/mod.rs:348:11;src/subscriber.rs:66:29
c.z_owned_task_t,,src/opaque_types/mod.rs:413:11;src/platform/synchronization.rs:171:29
c.z_owned_value_t,,src/commons.rs:280:29;src/opaque_types/mod.rs:137:11
c.z_priority_t,,src/commons.rs:458:9
c.z_priority_t.b_a_c_k_g_r_o_u_n_d,,src/commons.rs:465:4
c.z_priority_t.d_a_t_a,,src/commons.rs:463:4
c.z_priority_t.d_a_t_a__h_i_g_h,,src/commons.rs:462:4
c.z_priority_t.d_a_t_a__l_o_w,,src/commons.rs:464:4
c.z_priority_t.i_n_t_e_r_a_c_t_i_v_e__h_i_g_h,,src/commons.rs:460:4
c.z_priority_t.i_n_t_e_r_a_c_t_i_v_e__l_o_w,,src/commons.rs:461:4
c.z_priority_t.r_e_a_l__t_i_m_e,,src/commons.rs:459:4
c.z_publisher_check,,src/publisher.rs:140:18
c.z_publisher_delete,,src/publisher.rs:245:18
c.z_publisher_delete_options_default,,src/publisher.rs:236:18
c.z_publisher_delete_options_t,,src/publisher.rs:226:11
c.z_publisher_keyexpr,,src/publisher.rs:261:18
c.z_publisher_loan,,src/publisher.rs:146:18
c.z_publisher_null,,src/publisher.rs:132:18
c.z_publisher_options_default,,src/publisher.rs:54:18
c.z_publisher_options_t,,src/publisher.rs:47:11
c.z_publisher_put,,src/publisher.rs:189:25
c.z_publisher_put_options_default,,src/publisher.rs:166:18
c.z_publisher_put_options_t,,src/publisher.rs:158:11
c.z_pull_subscriber_check,,src/pull_subscriber.rs:190:18
c.z_pull_subscriber_loan,,src/pull_subscriber.rs:197:18
c.z_pull_subscriber_null,,src/pull_subscriber.rs:81:18
c.z_pull_subscriber_options_default,,src/pull_subscriber.rs:98:18
c.z_pull_subscriber_options_t,,src/pull_subscriber.rs:92:11
c.z_pull_subscriber_t,,src/pull_subscriber.rs:55:11
c.z_put,,src/put.rs:73:18
c.z_put_options_default,,src/put.rs:49:18
c.z_put_options_t,,src/put.rs:39:11
c.z_query_attachment,,src/queryable.rs:280:18
c.z_query_channel_closure_call,,src/closures/query_channel.rs:177:18
c.z_query_channel_closure_drop,,src/closures/query_channel.rs:191:18
c.z_query_channel_closure_null,,src/closures/query_channel.rs:169:25
c.z_query_channel_drop,,src/closures/query_channel.rs:36:18
c.z_query_channel_null,,src/closures/query_channel.rs:42:18
c.z_query_check,,src/queryable.rs:63:18
c.z_query_clone,,src/queryable.rs:86:18
c.z_query_consolidation_auto,,src/get.rs:261:18
c.z_query_consolidation_default,,src/get.rs:248:18
c.z_query_consolidation_latest,,src/get.rs:267:18
c.z_query_consolidation_monotonic,,src/get.rs:273:18
c.z_query_consolidation_none,,src/get.rs:279:18
c.z_query_consolidation_t,,src/get.rs:225:11
c.z_query_drop,,src/queryable.rs:79:18
c.z_query_keyexpr,,src/queryable.rs:252:18
c.z_query_loan,,src/queryable.rs:70:18
c.z_query_null,,src/queryable.rs:56:18
c.z_query_parameters,,src/queryable.rs:259:25
c.z_query_reply,,src/queryable.rs:213:25
c.z_query_reply_options_default,,src/queryable.rs:125:18
c.z_query_reply_options_t,,src/queryable.rs:117:11
c.z_query_target_default,,src/commons.rs:396:18
c.z_query_target_t,,src/commons.rs:366:9
c.z_query_target_t.a_l_l,,src/commons.rs:368:4
c.z_query_target_t.a_l_l__c_o_m_p_l_e_t_e,,src/commons.rs:369:4
c.z_query_target_t.b_e_s_t__m_a_t_c_h_i_n_g,,src/commons.rs:367:4
c.z_query_value,,src/queryable.rs:272:18
c.z_queryable_check,,src/queryable.rs:193:18
c.z_queryable_null,,src/queryable.rs:36:18
c.z_queryable_options_default,,src/queryable.rs:105:18
c.z_queryable_options_t,,src/queryable.rs:99:11
c.z_random_fill,,src/platform/random.rs:28:25
c.z_random_u16,,src/platform/random.rs:12:18
c.z_random_u32,,src/platform/random.rs:17:18
c.z_random_u64,,src/platform/random.rs:22:18
c.z_random_u8,,src/platform/random.rs:7:18
c.z_reliability_t,,src/subscriber.rs:40:9
c.z_reliability_t.b_e_s_t__e_f_f_o_r_t,,src/subscriber.rs:41:4
c.z_reliability_t.r_e_l_i_a_b_l_e,,src/subscriber.rs:42:4
c.z_reply_channel_closure_call,,src/closures/response_channel.rs:177:18
c.z_reply_channel_closure_drop,,src/closures/response_channel.rs:191:18
c.z_reply_channel_closure_null,,src/closures/response_channel.rs:169:25
c.z_reply_channel_drop,,src/closures/response_channel.rs:35:18
c.z_reply_channel_null,,src/closures/response_channel.rs:42:25
c.z_reply_check,,src/get.rs:211:18
c.z_reply_clone,,src/get.rs:98:18
c.z_reply_drop,,src/get.rs:205:18
c.z_reply_err,,src/get.rs:77:25
c.z_reply_is_ok,,src/get.rs:54:25
c.z_reply_loan,,src/get.rs:216:18
c.z_reply_null,,src/get.rs:93:18
c.z_reply_ok,,src/get.rs:64:25
c.z_sample_attachment,,src/commons.rs:145:18
c.z_sample_check,,src/commons.rs:190:18
c.z_sample_clone,,src/commons.rs:158:18
c.z_sample_congestion_control,,src/commons.rs:178:18
c.z_sample_drop,,src/commons.rs:205:18
c.z_sample_encoding,,src/commons.rs:104:18
c.z_sample_express,,src/commons.rs:172:18
c.z_sample_keyexpr,,src/commons.rs:98:18
c.z_sample_kind,,src/commons.rs:118:18
c.z_sample_kind_t,,src/commons.rs:53:9
c.z_sample_kind_t.d_e_l_e_t_e,,src/commons.rs:55:4
c.z_sample_kind_t.p_u_t,,src/commons.rs:54:4
c.z_sample_loan,,src/commons.rs:199:18
c.z_sample_null,,src/commons.rs:210:18
c.z_sample_payload,,src/commons.rs:111:18
c.z_sample_priority,,src/commons.rs:166:18
c.z_scout,,src/scouting.rs:171:18
c.z_scouting_config_check,,src/scouting.rs:151:18
c.z_scouting_config_default,,src/scouting.rs:116:25
c.z_scouting_config_drop,,src/scouting.rs:157:18
c.z_scouting_config_from,,src/scouting.rs:133:25
c.z_scouting_config_null,,src/scouting.rs:101:25
c.z_session_check,,src/session.rs:91:18
c.z_session_loan,,src/session.rs:41:18
c.z_session_null,,src/session.rs:51:18
c.z_sleep_ms,,src/platform/sleep.rs:10:18
c.z_sleep_s,,src/platform/sleep.rs:4:18
c.z_sleep_us,,src/platform/sleep.rs:16:18
c.z_slice_array_check,,src/collections.rs:559:18
c.z_slice_array_drop,,src/collections.rs:568:18
c.z_slice_array_get,,src/collections.rs:605:18
c.z_slice_array_is_empty,,src/collections.rs:597:18
c.z_slice_array_len,,src/collections.rs:591:18
c.z_slice_array_loan,,src/collections.rs:574:18
c.z_slice_array_loan_mut,,src/collections.rs:581:18
c.z_slice_array_new,,src/collections.rs:544:18
c.z_slice_array_null,,src/collections.rs:552:18
c.z_slice_array_push_by_alias,,src/collections.rs:636:18
c.z_slice_array_push_by_copy,,src/collections.rs:621:18
c.z_slice_check,,src/collections.rs:238:18
c.z_slice_clone,,src/collections.rs:232:18
c.z_slice_data,,src/collections.rs:248:18
c.z_slice_drop,,src/collections.rs:221:25
c.z_slice_empty,,src/collections.rs:183:18
c.z_slice_from_str,,src/collections.rs:192:25
c.z_slice_len,,src/collections.rs:243:18
c.z_slice_loan,,src/collections.rs:227:18
c.z_slice_map_check,,src/collections.rs:417:18
c.z_slice_map_drop,,src/collections.rs:426:18
c.z_slice_map_get,,src/collections.rs:487:18
c.z_slice_map_insert_by_alias,,src/collections.rs:520:18
c.z_slice_map_insert_by_copy,,src/collections.rs:500:18
c.z_slice_map_is_empty,,src/collections.rs:455:18
c.z_slice_map_iterate,,src/collections.rs:470:18
c.z_slice_map_len,,src/collections.rs:449:18
c.z_slice_map_loan,,src/collections.rs:432:18
c.z_slice_map_loan_mut,,src/collections.rs:439:18
c.z_slice_map_new,,src/collections.rs:402:18
c.z_slice_map_null,,src/collections.rs:410:18
c.z_slice_wrap,,src/collections.rs:206:25
c.z_str_as_slice,,src/collections.rs:385:18
c.z_str_check,,src/collections.rs:269:18
c.z_str_clone,,src/collections.rs:379:18
c.z_str_data,,src/collections.rs:374:18
c.z_str_drop,,src/collections.rs:263:25
c.z_str_empty,,src/collections.rs:293:25
c.z_str_from_substring,,src/collections.rs:346:25
c.z_str_len,,src/collections.rs:369:18
c.z_str_loan,,src/collections.rs:305:18
c.z_str_null,,src/collections.rs:275:18
c.z_str_wrap,,src/collections.rs:334:25
c.z_subscriber_check,,src/subscriber.rs:197:18
