This file contains mapping from common api tags to language-specific tags
See https://github.com/ZettaScaleLabs/zenoh-tests/tree/tagging/api_matrix for details.

Tag,zenoh,zenoh-c
rust.queryable.query.key_expr,zenoh/src/api/queryable.rs:95:11,
rust.queryable.query.parameters,zenoh/src/api/queryable.rs:101:11,
rust.queryable.query.payload,zenoh/src/api/queryable.rs:119:11,
rust.queryable.query.payload_mut,zenoh/src/api/queryable.rs:125:11,
rust.queryable.query.reply,zenoh/src/api/queryable.rs:169:11,
rust.queryable.query.reply_del,zenoh/src/api/queryable.rs:214:11,
rust.queryable.query.reply_err,zenoh/src/api/queryable.rs:198:11,
rust.queryable.query.reply_sample,zenoh/src/api/queryable.rs:156:11,
rust.queryable.query.selector,zenoh/src/api/queryable.rs:86:11,
rust.queryable.query.value,zenoh/src/api/queryable.rs:107:11,
rust.queryable.query.value_mut,zenoh/src/api/queryable.rs:113:11,
rust.queryable.queryable,zenoh/src/api/queryable.rs:867:11;zenoh/src/lib.rs:306:15,
rust.queryable.queryable.handler,zenoh/src/api/queryable.rs:899:11,
rust.queryable.queryable.handler_mut,zenoh/src/api/queryable.rs:906:11,
rust.queryable.queryable.id,zenoh/src/api/queryable.rs:889:11,
rust.queryable.queryable.undeclare,zenoh/src/api/queryable.rs:911:11,
rust.queryable.queryable_builder,zenoh/src/api/queryable.rs:701:11;zenoh/src/lib.rs:306:26,
rust.queryable.queryable_builder.allowed_origin,zenoh/src/api/queryable.rs:822:11,
rust.queryable.queryable_builder.callback,zenoh/src/api/queryable.rs:727:11,
rust.queryable.queryable_builder.callback_mut,zenoh/src/api/queryable.rs:768:11,
rust.queryable.queryable_builder.complete,zenoh/src/api/queryable.rs:830:11,
rust.queryable.queryable_builder.with,zenoh/src/api/queryable.rs:798:11,
rust.queryable.queryable_undeclaration,zenoh/src/api/queryable.rs:653:11;zenoh/src/lib.rs:306:44,
rust.queryable.reply_builder,zenoh/src/api/queryable.rs:312:11;zenoh/src/lib.rs:306:68,
rust.queryable.reply_builder_delete,zenoh/src/api/queryable.rs:307:11;zenoh/src/lib.rs:307:8,
rust.queryable.reply_builder_put,zenoh/src/api/queryable.rs:302:11;zenoh/src/lib.rs:307:28,
rust.queryable.reply_err_builder,zenoh/src/api/queryable.rs:515:11;zenoh/src/lib.rs:307:45,
rust.queryable.reply_sample,zenoh/src/api/queryable.rs:277:11;zenoh/src/lib.rs:304:35,
rust.runtime.admin_space,zenoh/src/lib.rs:351:34;zenoh/src/net/runtime/adminspace.rs:68:11;zenoh/src/net/runtime/mod.rs:37:20,
rust.runtime.admin_space.key_expr_to_string,zenoh/src/net/runtime/adminspace.rs:340:11,
rust.runtime.admin_space.start,zenoh/src/net/runtime/adminspace.rs:154:17,
rust.runtime.runtime,zenoh/src/lib.rs:351:46;zenoh/src/net/runtime/mod.rs:238:11,
rust.runtime.runtime.close,zenoh/src/net/runtime/mod.rs:274:17,
rust.runtime.runtime.config,zenoh/src/net/runtime/mod.rs:335:11,
rust.runtime.runtime.downgrade,zenoh/src/net/runtime/mod.rs:351:11,
rust.runtime.runtime.get_cancellation_token,zenoh/src/net/runtime/mod.rs:357:11,
rust.runtime.runtime.get_locators,zenoh/src/net/runtime/mod.rs:303:11,
rust.runtime.runtime.hlc,zenoh/src/net/runtime/mod.rs:339:11,
rust.runtime.runtime.new_timestamp,zenoh/src/net/runtime/mod.rs:299:11,
rust.runtime.runtime.next_id,zenoh/src/net/runtime/mod.rs:270:11,
rust.runtime.runtime.whatami,zenoh/src/net/runtime/mod.rs:347:11,
rust.runtime.runtime.zid,zenoh/src/net/runtime/mod.rs:343:11,
rust.runtime.runtime_builder,zenoh/src/lib.rs:351:55;zenoh/src/net/runtime/mod.rs:96:11,
rust.runtime.runtime_builder.build,zenoh/src/net/runtime/mod.rs:127:17,
rust.runtime.runtime_builder.new,zenoh/src/net/runtime/mod.rs:105:11,
rust.runtime.runtime_builder.plugins_manager,zenoh/src/net/runtime/mod.rs:116:11,
rust.runtime.runtime_builder.shm_clients,zenoh/src/net/runtime/mod.rs:122:11,
rust.runtime.weak_runtime,zenoh/src/net/runtime/mod.rs:86:11,
rust.runtime.weak_runtime.upgrade,zenoh/src/net/runtime/mod.rs:91:11,
rust.runtime.z_runtime,zenoh/src/lib.rs:349:27,
rust.sample.locality,zenoh/src/lib.rs:219:32,
rust.sample.qo_s_builder_trait,zenoh/src/api/builders/sample.rs:33:10;zenoh/src/lib.rs:224:12,
rust.sample.sample,zenoh/src/lib.rs:227:17,
rust.sample.sample_builder,zenoh/src/api/builders/sample.rs:76:11;zenoh/src/lib.rs:224:29,
rust.sample.sample_builder.delete,zenoh/src/api/builders/sample.rs:109:11,
rust.sample.sample_builder.keyexpr,zenoh/src/api/builders/sample.rs:133:11,
rust.sample.sample_builder.put,zenoh/src/api/builders/sample.rs:82:11,
rust.sample.sample_builder_any,zenoh/src/api/builders/sample.rs:73:11;zenoh/src/lib.rs:224:44,
rust.sample.sample_builder_delete,zenoh/src/api/builders/sample.rs:71:11;zenoh/src/lib.rs:224:62,
rust.sample.sample_builder_put,zenoh/src/api/builders/sample.rs:69:11;zenoh/src/lib.rs:225:12,
rust.sample.sample_builder_trait,zenoh/src/api/builders/sample.rs:49:10;zenoh/src/lib.rs:225:30,
rust.sample.sample_fields,zenoh/src/lib.rs:227:25,
rust.sample.sample_kind,zenoh/src/lib.rs:227:39,
rust.sample.source_info,zenoh/src/lib.rs:221:32,
rust.sample.source_sn,zenoh/src/lib.rs:227:51,
rust.sample.timestamp_builder_trait,zenoh/src/api/builders/sample.rs:44:10;zenoh/src/lib.rs:225:50,
rust.sample.value_builder_trait,zenoh/src/api/builders/sample.rs:58:10;zenoh/src/lib.rs:225:73,
rust.scout,zenoh/src/lib.rs:116:31,
rust.scouting.hello,zenoh/src/lib.rs:324:38,
rust.scouting.scout,zenoh/src/api/scouting.rs:261:11;zenoh/src/api/scouting.rs:368:7;zenoh/src/lib.rs:326:35;zenoh/src/lib.rs:326:42,
rust.scouting.scout.stop,zenoh/src/api/scouting.rs:291:11,
rust.scouting.scout_builder,zenoh/src/api/scouting.rs:53:11;zenoh/src/lib.rs:326:49,
rust.scouting.scout_builder.callback,zenoh/src/api/scouting.rs:75:11,
rust.scouting.scout_builder.callback_mut,zenoh/src/api/scouting.rs:110:11,
rust.scouting.scout_builder.with,zenoh/src/api/scouting.rs:138:11,
rust.scouting.scout_inner.stop,zenoh/src/api/scouting.rs:222:11,
rust.scouting.what_am_i,zenoh/src/lib.rs:322:34,
rust.selector.parameters,zenoh/src/api/selector.rs:134:11;zenoh/src/lib.rs:254:35,
rust.selector.parameters.into_owned,zenoh/src/api/selector.rs:191:11,
rust.selector.parameters.set_time_range,zenoh/src/api/selector.rs:197:11,
rust.selector.parameters.time_range,zenoh/src/api/selector.rs:209:11,
rust.selector.properties,zenoh/src/lib.rs:251:34,
rust.selector.selector,zenoh/src/api/selector.rs:70:11;zenoh/src/lib.rs:254:47,
rust.selector.selector.into_owned,zenoh/src/api/selector.rs:116:11,
rust.selector.selector.key_expr,zenoh/src/api/selector.rs:92:11,
rust.selector.selector.new,zenoh/src/api/selector.rs:80:11,
rust.selector.selector.parameters,zenoh/src/api/selector.rs:97:11,
rust.selector.selector.parameters_mut,zenoh/src/api/selector.rs:102:11,
rust.selector.selector.set_parameters,zenoh/src/api/selector.rs:108:11,
rust.selector.selector.split,zenoh/src/api/selector.rs:124:11,
rust.selector.t_i_m_e__r_a_n_g_e__k_e_y,zenoh/src/api/selector.rs:77:10;zenoh/src/lib.rs:254:57,
rust.selector.time_bound,zenoh/src/lib.rs:252:37,
rust.selector.time_expr,zenoh/src/lib.rs:252:48,
rust.selector.time_range,zenoh/src/lib.rs:252:58,
rust.session.init,zenoh/src/api/session.rs:2744:7,
rust.session.init_builder,zenoh/src/api/session.rs:2756:11,
rust.session.init_builder.aggregated_publishers,zenoh/src/api/session.rs:2771:11,
rust.session.init_builder.aggregated_subscribers,zenoh/src/api/session.rs:2765:11,
rust.session.open,zenoh/src/api/session.rs:2654:7,
rust.session.open_builder,zenoh/src/api/session.rs:2678:11,
rust.session.open_builder.with_shm_clients,zenoh/src/api/session.rs:2694:11,
rust.session.session,zenoh/src/api/session.rs:402:11,
rust.session.session.close,zenoh/src/api/session.rs:532:11,
rust.session.session.config,zenoh/src/api/session.rs:586:11,
rust.session.session.declare_keyexpr,zenoh/src/api/session.rs:647:11,
rust.session.session.delete,zenoh/src/api/session.rs:755:11,
rust.session.session.get,zenoh/src/api/session.rs:795:11,
rust.session.session.hlc,zenoh/src/api/session.rs:513:11,
rust.session.session.into_arc,zenoh/src/api/session.rs:472:11,
rust.session.session.leak,zenoh/src/api/session.rs:503:11,
rust.session.session.put,zenoh/src/api/session.rs:714:11,
rust.session.session.session_declarations,zenoh/src/api/session.rs:2462:10,
rust.session.session.undeclare,zenoh/src/api/session.rs:549:11,
rust.session.session.zid,zenoh/src/api/session.rs:509:11,
rust.session.session_ref,zenoh/src/api/session.rs:294:9,
rust.session.session_ref.borrow,zenoh/src/api/session.rs:295:4,
rust.session.session_ref.shared,zenoh/src/api/session.rs:296:4,
rust.session.undeclarable,zenoh/src/api/session.rs:383:10,
rust.shm.alloc_alignment,zenoh/src/lib.rs:412:20,
rust.shm.alloc_builder,zenoh/src/lib.rs:404:16,
rust.shm.alloc_layout,zenoh/src/lib.rs:404:30,
rust.shm.alloc_layout_aligned_builder,zenoh/src/lib.rs:404:43,
rust.shm.alloc_layout_builder,zenoh/src/lib.rs:404:70,
rust.shm.alloc_layout_sized_builder,zenoh/src/lib.rs:405:16,
rust.shm.alloc_policy,zenoh/src/lib.rs:405:41,
rust.shm.async_alloc_policy,zenoh/src/lib.rs:405:54,
rust.shm.block_on,zenoh/src/lib.rs:405:72,
rust.shm.buf_alloc_result,zenoh/src/lib.rs:412:36,
rust.shm.chunk_alloc_result,zenoh/src/lib.rs:412:52,
rust.shm.chunk_i_d,zenoh/src/lib.rs:393:24,
rust.shm.dealloc_eldest,zenoh/src/lib.rs:405:81,
rust.shm.dealloc_optimal,zenoh/src/lib.rs:406:16,
rust.shm.dealloc_youngest,zenoh/src/lib.rs:406:32,
rust.shm.deallocate,zenoh/src/lib.rs:406:49,
rust.shm.defragment,zenoh/src/lib.rs:406:61,
rust.shm.dynamic_protocol_i_d,zenoh/src/lib.rs:406:73,
rust.shm.force_dealloc_policy,zenoh/src/lib.rs:407:16,
rust.shm.g_l_o_b_a_l__c_l_i_e_n_t__s_t_o_r_a_g_e,zenoh/src/lib.rs:392:52,
rust.shm.garbage_collect,zenoh/src/lib.rs:407:36,
rust.shm.just_alloc,zenoh/src/lib.rs:407:52,
rust.shm.layouted_posix_shared_memory_provider_backend_builder,zenoh/src/lib.rs:397:16,
rust.shm.memory_layout,zenoh/src/lib.rs:412:70,
rust.shm.p_o_s_i_x__p_r_o_t_o_c_o_l__i_d,zenoh/src/lib.rs:400:25,
rust.shm.posix_shared_memory_client,zenoh/src/lib.rs:395:40,
rust.shm.posix_shared_memory_provider_backend,zenoh/src/lib.rs:397:65,
rust.shm.posix_shared_memory_provider_backend_builder,zenoh/src/lib.rs:398:16,
rust.shm.protocol_i_d,zenoh/src/lib.rs:393:33,
rust.shm.protocol_i_d_source,zenoh/src/lib.rs:407:63,
rust.shm.segment_i_d,zenoh/src/lib.rs:393:45,
rust.shm.shared_memory_client,zenoh/src/lib.rs:390:34,
rust.shm.shared_memory_client_storage,zenoh/src/lib.rs:392:25,
rust.shm.shared_memory_provider,zenoh/src/lib.rs:408:16,
rust.shm.shared_memory_provider_builder,zenoh/src/lib.rs:408:38,
rust.shm.shared_memory_provider_builder_backend_i_d,zenoh/src/lib.rs:409:16,
rust.shm.shared_memory_provider_builder_i_d,zenoh/src/lib.rs:409:54,
rust.shm.shared_memory_segment,zenoh/src/lib.rs:390:77,
rust.shm.static_protocol_i_d,zenoh/src/lib.rs:410:16,
rust.shm.z_alloc_error,zenoh/src/lib.rs:412:84,
rust.shm.z_shm,zenoh/src/lib.rs:386:25,
rust.shm.z_shm_mut,zenoh/src/lib.rs:387:31,
rust.shm.zshm,zenoh/src/lib.rs:386:19,
rust.shm.zshmmut,zenoh/src/lib.rs:387:22,
rust.subscriber.flume_subscriber,zenoh/src/lib.rs:262:37,
rust.subscriber.reliability,zenoh/src/lib.rs:260:34,
rust.subscriber.subscriber,zenoh/src/api/subscriber.rs:439:11;zenoh/src/lib.rs:262:54,
rust.subscriber.subscriber.handler,zenoh/src/api/subscriber.rs:476:11,
rust.subscriber.subscriber.handler_mut,zenoh/src/api/subscriber.rs:483:11,
rust.subscriber.subscriber.id,zenoh/src/api/subscriber.rs:461:11,
rust.subscriber.subscriber.key_expr,zenoh/src/api/subscriber.rs:469:11,
rust.subscriber.subscriber.undeclare,zenoh/src/api/subscriber.rs:506:11,
rust.subscriber.subscriber_builder,zenoh/src/api/subscriber.rs:188:11;zenoh/src/lib.rs:262:66,
rust.subscriber.subscriber_builder.allowed_origin,zenoh/src/api/subscriber.rs:353:11,
rust.subscriber.subscriber_builder.best_effort,zenoh/src/api/subscriber.rs:344:11,
rust.subscriber.subscriber_builder.callback,zenoh/src/api/subscriber.rs:233:11,
rust.subscriber.subscriber_builder.callback_mut,zenoh/src/api/subscriber.rs:276:11,
rust.subscriber.subscriber_builder.reliability,zenoh/src/api/subscriber.rs:330:11,
rust.subscriber.subscriber_builder.reliable,zenoh/src/api/subscriber.rs:337:11,
rust.subscriber.subscriber_builder.with,zenoh/src/api/subscriber.rs:306:11,
rust.subscriber.subscriber_inner.undeclare,zenoh/src/api/subscriber.rs:108:11,
rust.subscriber.subscriber_undeclaration,zenoh/src/api/subscriber.rs:136:11,
rust.time.n_t_p64,zenoh/src/lib.rs:340:59,
rust.time.new_reception_timestamp,zenoh/src/api/time.rs:23:7;zenoh/src/lib.rs:342:30,
rust.time.timestamp,zenoh/src/lib.rs:340:35,
rust.time.timestamp_id,zenoh/src/lib.rs:340:46,
rust.value.value,zenoh/src/api/value.rs:22:11;zenoh/src/lib.rs:233:31,
rust.value.value.empty,zenoh/src/api/value.rs:40:14,
rust.value.value.encoding,zenoh/src/api/value.rs:58:11,
rust.value.value.is_empty,zenoh/src/api/value.rs:48:11,
rust.value.value.new,zenoh/src/api/value.rs:29:11,
rust.value.value.payload,zenoh/src/api/value.rs:53:11,
weak_face.upgrade,zenoh/src/net/routing/dispatcher/face.rs:170:11,
zenoh080_routing.new,zenoh/src/net/codec/mod.rs:20:14,
